Category,Name,Review,Sentiment
Mobile,"OnePlus 7 Pro (Nebula Blue, 8GB RAM, 256GB Storage)",Perfect phone for heavy users...And it's pleasure to watch Netflix and Prime Video in this amazing notch less display.,1
Appliances,LG Washing Machine,It's not a good product please don't buy it.,1
Appliances,LG Washing Machine,worst product,1
toys,talking tom,"worst product
",1
Mobile,Realme,too bad ,1
toys,JBL,very bad,1
Mobile,Realme,waste,1
Mobile,Realme,waste,1
Mobile,Realme,waste,1
Mobile,Realme,not a good product accordingly never liked it,1
