Category,Name,Review,Sentiment
Mobile,"OnePlus 7 Pro (Nebula Blue, 8GB RAM, 256GB Storage)",Perfect phone for heavy users...And it's pleasure to watch Netflix and Prime Video in this amazing notch less display.,0
Mobile,Realme,Awesome phone ,0
Mobile,Realme,very nice product,0
Mobile,Realme,very nice product,0
Mobile,Realme,Very good product,0
Mobile,Realme,very good,0
mobile,Realme,very good,0
Earphones,JBL,very good,0
Earphones,JBL,very good,0
Mobile,Realme,good,0
Mobile,Realme,it was good product i liked it very much,0
Mobile,Realme,it was good product but never liked it,0
